Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
1994-08-23,-9.230500189520773e-19,0.0,0.0,0.0,0.0,0.5,0.0,1.2192773691843953e-17,0.0,-1.056632910397464e-18,0.0,0.0,0.0,0.0,-0.08799371599033123,0.4120062840096688
1994-08-24,8.368353735101329e-19,0.0,0.0,0.0,0.0,0.5,0.0,1.8782771417492667e-17,0.0,2.0635259961088664e-18,0.0,0.0,0.0,0.0,-0.09098436342987555,0.40901563657012446
1994-08-25,7.011587900949831e-18,0.0,0.0,0.0,0.0,0.5,0.0,1.6996943701587835e-18,0.0,-2.51937414599795e-18,0.0,0.0,0.0,0.0,-0.10589105495238528,0.3941089444878875
1994-08-26,9.763240025455191e-18,0.0,0.0,0.0,0.0,0.5,0.0,-6.51582173447985e-18,0.0,-9.627605881372739e-18,0.0,0.0,0.0,0.0,-0.07965617352681877,0.42034382647318125
1994-08-29,-9.147513545330604e-19,0.0,0.0,0.0,0.0,0.5,0.0,2.672538992742493e-19,0.0,2.1651192563478077e-18,0.0,0.0,0.0,0.0,-0.0883237593835792,0.41167624061642083
1994-08-30,-2.44088982238192e-18,0.0,0.0,0.0,0.0,0.5,0.0,-1.3552565012045912e-17,0.0,4.259749720960012e-19,0.0,0.0,0.0,0.0,-0.0774219159231736,0.4225780840172558
1994-08-31,2.68340611593304e-18,0.0,0.0,0.0,0.0,0.5,0.0,1.430988157732882e-18,0.0,8.934013363450658e-19,0.0,0.0,0.0,0.0,-0.059945169132762724,0.4400548308672372
1994-09-01,0.0,0.0,0.0,0.0,0.0,0.48883206774611804,0.0,-4.526544070126981e-18,0.0,-7.860465750519907e-19,0.0,0.0,0.0,-0.10579222137156057,-1.3877787807814457e-17,0.405375709922395
1994-09-02,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.4230153513872246e-18,0.0,-2.9002408113987244e-18,0.0,0.0,0.0,-0.07942479207002387,3.028989819381378e-18,0.4205752079299762
1994-09-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.2593685859776937e-17,0.0,-7.870630145886959e-18,0.0,0.0,0.0,-0.10166143080941269,5.390517676326367e-18,0.39833856919058724
1994-09-07,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.72405795836983e-18,0.0,-5.4616684438957286e-18,0.0,0.0,0.0,-0.09120606506061162,-0.018744270405738228,0.3900496645336501
1994-09-08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0383000842727483e-17,0.0,3.2932640989247197e-18,0.0,0.0,0.0,-0.09032286841086187,-0.024669491454106435,0.3850076401350318
1994-09-09,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5971653253427087e-17,0.0,5.421010862427522e-20,0.0,0.0,0.0,-0.08005618602671906,-2.40896170199123e-18,0.41994381397271674
